Provider.ID,Hospital.Name,Measure.ID,Gastrointestinal,Eye,Nervous.System,Musculoskeletal,Skin,Genitourinary,Cardiovascular,Measure.Start.Date,Measure.End.Date,lat,lon
10052,LAKE MARTIN COMMUNITY HOSPITAL,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.81867788400007,85.74161727099994
10054,DECATUR MORGAN HOSPITAL - PARKWAY CAMPUS,OP-26,193,1705,690,144,122,833,2,01/01/2013,12/31/2013,34.57574902700003,87.01654568799995
10055,FLOWERS HOSPITAL,OP-26,2734,10,1890,728,1649,1487,575,01/01/2013,12/31/2013,31.235826770000074,85.45721340799997
10056,ST VINCENT'S BIRMINGHAM,OP-26,6334,0,6183,4202,247,745,1287,01/01/2013,12/31/2013,33.50797325600007,86.78874763899995
10058,BIBB MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.95133452600004,87.14764515199994
10059,LAWRENCE MEDICAL CENTER,OP-26,404,0,0,0,104,0,0,01/01/2013,12/31/2013,34.482945975000064,87.28600283599997
10061,HIGHLANDS MEDICAL CENTER,OP-26,1925,213,99,70,43,137,18,01/01/2013,12/31/2013,34.66168264100003,86.04673208299994
10062,WIREGRASS MEDICAL CENTER,OP-26,766,0,0,0,333,36,0,01/01/2013,12/31/2013,31.04804746900004,85.89112586699997
10065,RUSSELL HOSPITAL,OP-26,978,702,239,310,41,379,140,01/01/2013,12/31/2013,32.931334950000064,85.96878845399993
10069,MEDICAL CENTER BARBOUR,OP-26,178,0,15,3,167,51,2,01/01/2013,12/31/2013,31.88801827700007,85.15606109899994
10073,CLAY COUNTY HOSPITAL,OP-26,174,115,0,3,8,0,1,01/01/2013,12/31/2013,33.27665890500003,85.82361169599994
10078,NORTHEAST ALABAMA REGIONAL MED CENTER,OP-26,1502,461,288,701,1319,661,1243,01/01/2013,12/31/2013,33.657075605000045,85.82345700699994
10079,ATHENS-LIMESTONE HOSPITAL,OP-26,1142,335,150,338,43,105,52,01/01/2013,12/31/2013,34.80357778700005,86.97837640099993
10083,SOUTH BALDWIN REGIONAL MEDICAL CENTER,OP-26,3766,277,865,1614,2773,552,170,01/01/2013,12/31/2013,30.425680471000078,87.68324211899994
10085,DECATUR MORGAN HOSPITAL - DECATUR CAMPUS,OP-26,1264,32,81,952,2377,1563,307,01/01/2013,12/31/2013,34.59115554700003,86.97263926799997
10086,NORTHWEST MEDICAL CENTER,OP-26,458,243,13,169,2059,44,71,01/01/2013,12/31/2013,33.929365020000034,87.82463746799993
10087,UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER,OP-26,54,0,16,411,0,0,181,01/01/2013,12/31/2013,30.708153140000036,88.09899576799995
10089,WALKER BAPTIST MEDICAL CENTER,OP-26,3415,953,3524,695,20,385,61,01/01/2013,12/31/2013,33.84104873800004,87.23655598599998
10090,PROVIDENCE HOSPITAL,OP-26,4455,1171,1728,425,106,931,379,01/01/2013,12/31/2013,30.68208912600005,88.19924246199997
10091,GROVE HILL MEMORIAL HOSPITAL,OP-26,489,0,0,0,16,0,2,01/01/2013,12/31/2013,31.69477711500008,87.77707493799994
10092,D C H REGIONAL MEDICAL CENTER,OP-26,2978,96,8574,3147,23566,1139,2070,01/01/2013,12/31/2013,33.20617336400005,87.52548321599994
10095,HALE COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.694750111000076,87.58692229699994
10097,ELMORE COMMUNITY HOSPITAL,OP-26,45,92,3,29,31,31,0,01/01/2013,12/31/2013,32.55226755500007,86.18703624199998
10099,D W MCMILLAN MEMORIAL HOSPITAL,OP-26,258,0,6,33,43,19,39,01/01/2013,12/31/2013,31.127213651000034,87.07247839899998
10100,GULF HEALTH HOSPITALS, INC., D/B/A/THOMAS HOSPITAL,OP-26,1382,332,1469,1139,87,367,170,01/01/2013,12/31/2013,30.519966314000044,87.88950804299998
10101,CITIZENS BMC,OP-26,1949,450,522,91,57,61,16,01/01/2013,12/31/2013,33.43980936100007,86.09087857499998
10102,J PAUL JONES HOSPITAL,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,31.99807089600006,87.29947924799995
10103,BAPTIST MEDICAL CENTER-PRINCETON,OP-26,5601,1066,1544,503,253,165,432,01/01/2013,12/31/2013,33.499166366000054,86.84589505599996
10104,TRINITY MEDICAL CENTER,OP-26,1165,360,1720,1781,1237,847,205,01/01/2013,12/31/2013,33.51533518400004,86.74670548499995
10108,PRATTVILLE BAPTIST HOSPITAL,OP-26,1831,447,2,28,13,0,28,01/01/2013,12/31/2013,32.464199515000075,86.45095276799998
10109,PICKENS COUNTY MEDICAL CENTER,OP-26,50,0,0,1,11,0,1,01/01/2013,12/31/2013,33.274750813000026,88.08964716199995
10110,BULLOCK COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.141250273000026,85.70150667999997
10112,BRYAN W WHITFIELD MEM HOSP INC,OP-26,513,157,87,121,238,99,21,01/01/2013,12/31/2013,32.50364788300004,87.83705445699997
10113,MOBILE INFIRMARY ASSOCIATION, D/B/A MOBILE INFIRMARY,OP-26,5002,197,4017,385,205,965,1091,01/01/2013,12/31/2013,30.695458384000062,88.08085473499995
10114,MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM,OP-26,2376,922,666,371,653,117,804,01/01/2013,12/31/2013,33.373014854000076,86.99174385199996
10118,VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS,OP-26,589,204,51,104,304,180,217,01/01/2013,12/31/2013,32.43003551100003,87.05490514999997
10120,MONROE COUNTY HOSPITAL,OP-26,954,31,0,6,9,0,0,01/01/2013,12/31/2013,31.49838524300003,87.31923289899999
10125,LAKELAND COMMUNITY HOSPITAL,OP-26,210,83,1,1,46,0,6,01/01/2013,12/31/2013,34.241099199000075,87.59093156099999
10126,TROY REGIONAL MEDICAL CENTER,OP-26,1404,0,240,103,468,73,20,01/01/2013,12/31/2013,31.780395441000053,85.94585267399998
10128,JACKSON MEDICAL CENTER,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,31.530602078000072,87.89346675299998
10129,GULF HEALTH HOSPITALS, INC., D/B/A NORTH BALDWIN INFIRMARY,OP-26,447,115,157,52,37,19,27,01/01/2013,12/31/2013,30.90193608800007,87.78311330099996
10130,ST VINCENT'S ST CLAIR,OP-26,785,76,41,75,669,3,54,01/01/2013,12/31/2013,33.604999676000034,86.30046997699998
10131,CRESTWOOD MEDICAL CENTER,OP-26,4274,0,3091,1637,1845,385,38,01/01/2013,12/31/2013,34.692473310000025,86.57259625099994
10138,HILL HOSPITAL OF SUMTER COUNTY,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,32.49162270900007,88.29593628999999
10139,BROOKWOOD MEDICAL CENTER,OP-26,2036,634,3987,2205,3823,1579,750,01/01/2013,12/31/2013,33.46306652900006,86.77656110699996
10144,SPRINGHILL MEDICAL CENTER,OP-26,3495,0,397,335,389,812,280,01/01/2013,12/31/2013,30.685856122000075,88.13177286999996
10146,RMC JACKSONVILLE,OP-26,326,109,0,183,63,59,0,01/01/2013,12/31/2013,33.78560261500007,85.76124893499997
10148,EVERGREEN MEDICAL CENTER,OP-26,179,2,46,2,0,0,0,01/01/2013,12/31/2013,31.43103941800007,86.94130531699994
10149,BAPTIST MEDICAL CENTER EAST,OP-26,4429,0,20,168,27,222,105,01/01/2013,12/31/2013,32.376357615000074,86.17186895999998
10150,L V STABLER MEMORIAL HOSPITAL,OP-26,511,0,29,177,402,0,2,01/01/2013,12/31/2013,31.829742777000035,86.64611473899998
10157,SHOALS HOSPITAL,OP-26,1805,0,33,198,24,18,0,01/01/2013,12/31/2013,34.744994844000075,87.67642553599995
10158,RUSSELLVILLE HOSPITAL,OP-26,461,155,155,188,57,5,17,01/01/2013,12/31/2013,34.511260994000054,87.71760501499995
10164,COOSA VALLEY MEDICAL CENTER,OP-26,562,403,6,431,672,159,65,01/01/2013,12/31/2013,33.164645473000064,86.25412046599996
10168,JACK HUGHSTON MEMORIAL HOSPITAL,OP-26,357,0,0,3231,0,0,0,01/01/2013,12/31/2013,32.509125106000056,85.00575018799998
10169,ATMORE COMMUNITY HOSPITAL,OP-26,506,0,45,3,11,6,12,01/01/2013,12/31/2013,31.017000387000053,87.47965811999995
11300,WASHINGTON COUNTY HOSPITAL,OP-26,0,0,0,0,0,0,0,01/01/2013,12/31/2013,31.459573689000024,88.23330173799997
11302,RED BAY HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,34.45749636600004,88.14712255699999
11304,CHOCTAW GENERAL HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,32.100342228000045,88.21280179099995
11305,ST. VINCENT'S BLOUNT,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,NA,NA
20001,PROVIDENCE ALASKA MEDICAL CENTER,OP-26,2890,642,16,268,304,386,85,01/01/2013,12/31/2013,61.205296213000054,149.81210628299996
20006,MAT-SU REGIONAL MEDICAL CENTER,OP-26,2826,404,0,298,120,199,382,01/01/2013,12/31/2013,61.56200592200008,149.26054740599997
20008,BARTLETT REGIONAL HOSPITAL,OP-26,720,40,86,259,3,129,12,01/01/2013,12/31/2013,58.32944252500005,134.46585505299998
20012,FAIRBANKS MEMORIAL HOSPITAL,OP-26,3792,604,1772,535,164,159,125,01/01/2013,12/31/2013,64.83294821500004,147.73656572899998
20017,ALASKA REGIONAL HOSPITAL,OP-26,1794,418,28,537,39,219,185,01/01/2013,12/31/2013,61.20975602900006,149.82899175899996
20024,CENTRAL PENINSULA GENERAL HOSPITAL,OP-26,937,177,461,382,15,82,39,01/01/2013,12/31/2013,60.49373236500003,151.07808299499996
20026,ALASKA NATIVE MEDICAL CENTER,OP-26,1453,913,574,2302,2246,461,152,01/01/2013,12/31/2013,61.18186699900008,149.80259690399998
21306,PROVIDENCE KODIAK ISLAND MEDICAL CENTER,OP-26,373,0,0,68,6,7,3,01/01/2013,12/31/2013,57.800350448000074,152.37476799199996
21311,PEACEHEALTH KETCHIKAN MEDICAL CENTER,OP-26,1122,13,137,254,33,59,16,01/01/2013,12/31/2013,55.35288696600003,131.68635191899995
21313,SOUTH PENINSULA HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,59.65202045800004,151.55009565199998
30001,MARYVALE HOSPITAL,OP-26,232,0,3,3,7,5,22,01/01/2013,12/31/2013,33.502187649000064,112.17062033999997
30002,BANNER GOOD SAMARITAN MEDICAL CENTER,OP-26,2910,0,58,1026,2084,351,1360,01/01/2013,12/31/2013,33.465718981000066,112.05831350599999
30006,TUCSON MEDICAL CENTER,OP-26,1969,162,6154,2270,4288,1140,1444,01/01/2013,12/31/2013,32.25077902700008,110.87971206099996
30007,VERDE VALLEY MEDICAL CENTER,OP-26,2210,0,392,468,20,190,294,01/01/2013,12/31/2013,34.735296310000024,112.03155185499998
30010,CARONDELET ST  MARYS HOSPITAL,OP-26,3248,0,122,425,104,166,394,01/01/2013,12/31/2013,32.22880538600003,110.99906526799998
30011,CARONDELET ST JOSEPH'S HOSPITAL,OP-26,865,1187,184,753,209,454,229,01/01/2013,12/31/2013,32.226042660000076,110.85782597899998
30012,YAVAPAI REGIONAL MEDICAL CENTER,OP-26,2331,0,45,150,26,197,65,01/01/2013,12/31/2013,34.56016830800007,112.48212708199998
30013,YUMA REGIONAL MEDICAL CENTER,OP-26,970,167,61,595,51,624,1346,01/01/2013,12/31/2013,32.68318952100003,114.63326205499999
30014,JOHN C LINCOLN NORTH MOUNTAIN HOSPITAL,OP-26,1140,3,685,600,219,222,283,01/01/2013,12/31/2013,33.56779857500004,112.07020128399995
30016,BANNER CASA GRANDE MEDICAL CENTER,OP-26,962,0,0,1058,97,1388,38,01/01/2013,12/31/2013,32.87964292200007,111.70959654299998
30022,MARICOPA MEDICAL CENTER,OP-26,111,242,29,49,121,113,16,01/01/2013,12/31/2013,33.458512711000026,112.02587069799995
30023,FLAGSTAFF MEDICAL CENTER,OP-26,328,11,101,388,86,144,149,01/01/2013,12/31/2013,35.208646728000076,111.64517176599998
30024,ST JOSEPH'S HOSPITAL AND MEDICAL CENTER,OP-26,2295,0,70,263,297,1169,389,01/01/2013,12/31/2013,33.48034710300004,112.07987857499995
30030,PHOENIX BAPTIST HOSPITAL,OP-26,2226,0,441,1402,3607,205,892,01/01/2013,12/31/2013,33.524169474000075,112.10224547099995
30033,PAYSON REGIONAL MEDICAL CENTER,OP-26,970,196,382,123,437,25,61,01/01/2013,12/31/2013,34.23111763600008,111.32157071499995
30036,CHANDLER REGIONAL MEDICAL CENTER,OP-26,1784,0,87,377,5757,942,987,01/01/2013,12/31/2013,33.298672999000075,111.87516587299996
30037,ST LUKE'S MEDICAL CENTER,OP-26,989,1129,7079,1127,2041,10,505,01/01/2013,12/31/2013,33.451447244000065,112.04325982599994
30038,SCOTTSDALE HEALTHCARE-OSBORN MEDICAL CENTER,OP-26,2840,143,116,722,71,99,41,01/01/2013,12/31/2013,33.487648157000024,111.92203051799999
30043,SIERRA VISTA REGIONAL HEALTH CENTER,OP-26,4071,0,0,347,18,120,34,01/01/2013,12/31/2013,31.55461312700004,110.23053750599996
30055,KINGMAN REGIONAL MEDICAL CENTER,OP-26,702,0,1659,1463,2006,38,643,01/01/2013,12/31/2013,35.220057774000054,114.03579356399996
30061,BANNER BOSWELL MEDICAL CENTER,OP-26,3591,0,352,1079,937,565,866,01/01/2013,12/31/2013,33.60478336500006,112.28299086199996
30062,SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER,OP-26,1103,12,506,655,1492,222,279,01/01/2013,12/31/2013,34.20201926300007,110.01690832499997
30064,UNIVERSITY OF ARIZONA MEDICAL CTR-UNIVERSITY, THE,OP-26,2656,118,334,6098,2266,1634,1394,01/01/2013,12/31/2013,32.24073190000007,110.94412878899999
30065,BANNER DESERT MEDICAL CENTER,OP-26,3417,0,411,882,468,513,909,01/01/2013,12/31/2013,33.39029071400006,111.87467288799996
30068,MT GRAHAM REGIONAL MEDICAL CENTER,OP-26,1160,0,6,491,43,8,16,01/01/2013,12/31/2013,32.82177302400004,109.73300058699999
30069,HAVASU REGIONAL MEDICAL CENTER,OP-26,1859,0,2263,1487,3815,198,334,01/01/2013,12/31/2013,34.479547085000036,114.33848318099996
30077,SAN CARLOS INDIAN HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,33.324273610000034,109.89276799199996
30083,PARADISE VALLEY HOSPITAL,OP-26,699,0,112,2209,2636,254,178,01/01/2013,12/31/2013,33.64057323800006,111.99805000599997
30085,NORTHWEST MEDICAL CENTER,OP-26,3304,211,394,2640,5034,499,331,01/01/2013,12/31/2013,32.31963078100006,111.01204821799996
30087,SCOTTSDALE HEALTHCARE-SHEA MEDICAL CENTER,OP-26,3097,0,192,1343,80,1402,45,01/01/2013,12/31/2013,33.58243461300003,111.88597995599997
30088,BANNER BAYWOOD MEDICAL CENTER,OP-26,2197,0,84,454,1711,476,686,01/01/2013,12/31/2013,33.41045795000008,111.68797096999998
30089,BANNER THUNDERBIRD MEDICAL CENTER,OP-26,3882,0,50,1366,823,656,749,01/01/2013,12/31/2013,33.610723377000056,112.17962081299999
30092,JOHN C LINCOLN DEER VALLEY HOSPITAL,OP-26,3572,0,326,831,121,699,287,01/01/2013,12/31/2013,33.66557084000004,112.117207469
30093,BANNER DEL E WEBB MEDICAL CENTER,OP-26,3730,0,97,2048,147,693,435,01/01/2013,12/31/2013,33.65832529100004,112.37201500299994
30094,ARROWHEAD HOSPITAL,OP-26,1891,0,672,531,246,596,488,01/01/2013,12/31/2013,33.65416094500006,112.20358712199999
30101,WESTERN ARIZONA REGIONAL MEDICAL CENTER,OP-26,1671,0,184,246,1746,59,103,01/01/2013,12/31/2013,35.10982819100008,114.55480779499999
30103,MAYO CLINIC HOSPITAL,OP-26,3397,0,2336,1981,975,557,781,01/01/2013,12/31/2013,33.66284454100003,111.95445227099998
30105,BANNER HEART HOSPITAL,OP-26,3,0,0,0,2,0,457,01/01/2013,12/31/2013,33.41046245600006,111.68641534899996
30107,ARIZONA SPINE AND JOINT HOSPITAL,OP-26,0,0,0,400,0,0,0,01/01/2013,12/31/2013,33.379257616000075,111.73466027599994
30108,THE SURGICAL HOSPITAL OF PHOENIX,OP-26,105,0,191,325,6,0,1,01/01/2013,12/31/2013,33.53215043300003,112.09959714599995
30110,WEST VALLEY HOSPITAL,OP-26,2693,0,37,216,976,272,279,01/01/2013,12/31/2013,33.464232638000055,112.35252069899997
30111,UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE,OP-26,2105,145,15,348,73,147,9,01/01/2013,12/31/2013,32.17784658700003,110.93074518099996
30112,ARIZONA ORTHOPEDIC AND SURGICAL SPECIALTY HOSPITAL,OP-26,0,0,0,2825,0,0,0,01/01/2013,12/31/2013,33.334802583000055,111.89087051299998
30114,ORO VALLEY HOSPITAL,OP-26,1822,64,79,366,26,278,188,01/01/2013,12/31/2013,32.42733801900005,110.94721047299998
30115,BANNER ESTRELLA MEDICAL CENTER,OP-26,2772,0,44,375,126,970,369,01/01/2013,12/31/2013,33.479662844000075,112.25639850299996
30117,VALLEY VIEW MEDICAL CENTER,OP-26,535,110,362,557,2080,125,142,01/01/2013,12/31/2013,35.002180872000054,114.59796535899994
30118,YAVAPAI REGIONAL MEDICAL CENTER-EAST CAMPUS,OP-26,10,0,12,282,9,34,29,01/01/2013,12/31/2013,34.588348076000045,112.33220827599996
30119,MERCY GILBERT MEDICAL CENTER,OP-26,1164,0,101,730,68,428,373,01/01/2013,12/31/2013,33.285886563000076,111.75528291999996
30120,GILBERT HOSPITAL,OP-26,7,0,0,2,0,0,0,01/01/2013,12/31/2013,33.31369047600003,111.68681292599996
30121,MOUNTAIN VISTA MEDICAL CENTER, LP,OP-26,1752,153,358,973,806,486,298,01/01/2013,12/31/2013,33.391080027000044,111.61530807799994
30122,BANNER GATEWAY MEDICAL CENTER,OP-26,1823,0,26,188,301,481,575,01/01/2013,12/31/2013,33.384175232000075,111.71967824399997
30123,SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,OP-26,1574,0,7,134,14,254,9,01/01/2013,12/31/2013,33.669828521000056,111.92258015599998
30130,BANNER IRONWOOD MEDICAL CENTER,OP-26,768,0,4,173,26,72,18,01/01/2013,12/31/2013,33.21469151400004,111.56347948299998
30131,OASIS HOSPITAL,OP-26,0,0,0,681,0,0,0,01/01/2013,12/31/2013,33.45605160400004,111.99526083899997
30132,FLORENCE HOSPITAL AT ANTHEM, LLC,OP-26,14,0,0,0,0,21,0,01/01/2013,12/31/2013,33.073234281000055,111.48679916399999
30134,BANNER GOLDFIELD MEDICAL CENTER,OP-26,2,0,0,0,1,1,8,01/01/2013,12/31/2013,33.393377677000046,111.56717035299994
31300,WICKENBURG COMMUNITY HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,33.97807773400007,112.73881050299997
31304,PAGE HOSPITAL,OP-26,264,0,167,16,8,12,16,01/01/2013,12/31/2013,36.91701744200003,111.46311930499996
31309,SAGE MEMORIAL HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,35.657215689000054,109.08917660499998
31313,CARONDELET HOLY CROSS HOSPITAL,OP-26,516,0,0,2,2,38,0,01/01/2013,12/31/2013,31.341063516000077,110.95918152899998
31314,COBRE VALLEY REGIONAL MEDICAL CENTER,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,33.40719324100007,110.82634669699996
31315,WHITE MOUNTAIN REGIONAL MEDICAL CENTER,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,34.13230489700004,109.28639711199997
40001,SILOAM SPRINGS REGIONAL HOSPITAL,OP-26,541,446,6,65,5,2,9,01/01/2013,12/31/2013,36.18995440300006,94.50968759599994
40002,JOHNSON REGIONAL MEDICAL CENTER,OP-26,642,86,80,20,13,120,43,01/01/2013,12/31/2013,35.46439977400007,93.44588866599997
40004,WASHINGTON REGIONAL MED CTR AT NORTH HILLS,OP-26,1135,0,230,1381,3073,369,1497,01/01/2013,12/31/2013,36.11084882000006,94.15791478999995
40007,ST VINCENT INFIRMARY MEDICAL CENTER,OP-26,754,0,364,532,3594,1275,1090,01/01/2013,12/31/2013,34.75190411400007,92.33741151599997
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,OP-26,6443,0,5456,734,5050,603,766,01/01/2013,12/31/2013,36.311559154000065,94.18375431699997
40011,CHAMBERS MEMORIAL HOSPITAL,OP-26,479,506,0,12,331,0,0,01/01/2013,12/31/2013,35.054949898000075,93.38851771599997
40014,WHITE COUNTY MEDICAL CENTER,OP-26,747,0,104,259,53,267,111,01/01/2013,12/31/2013,35.25044602300005,91.69461538899998
40015,MENA REGIONAL HEALTH SYSTEM,OP-26,519,203,0,45,14,61,7,01/01/2013,12/31/2013,34.58906940500003,94.22244717999996
40016,UAMS MEDICAL CENTER,OP-26,1671,740,133,767,104,416,50,01/01/2013,12/31/2013,34.751541606000046,92.32077779799994
40017,NORTH ARKANSAS REGIONAL MEDICAL CENTER,OP-26,70,0,0,885,45,180,0,01/01/2013,12/31/2013,36.23580825100004,93.10718851199994
40018,SUMMIT MEDICAL CENTER,OP-26,0,0,0,28,237,37,0,01/01/2013,12/31/2013,35.43652079900005,94.33810810799997
40019,FORREST CITY MEDICAL CENTER,OP-26,257,0,8,10,14,21,7,01/01/2013,12/31/2013,35.03948829600006,90.77183719699997
40020,ST BERNARDS MEDICAL CENTER,OP-26,1392,0,298,831,7159,819,1075,01/01/2013,12/31/2013,35.83743874800007,90.70278663899995
40022,NORTHWEST MEDICAL CENTER-SPRINGDALE,OP-26,2356,56,515,1090,2388,433,319,01/01/2013,12/31/2013,36.18136270600007,94.13665058099997
40026,ST VINCENT HOT SPRINGS,OP-26,2632,1794,338,834,101,909,527,01/01/2013,12/31/2013,34.46605822200007,93.06620982399994
40027,BAXTER REGIONAL MEDICAL CENTER,OP-26,700,50,50,500,50,150,350,01/01/2013,12/31/2013,36.342963317000056,92.39518057199996
40029,CONWAY REGIONAL MEDICAL CENTER,OP-26,1320,729,786,768,121,509,343,01/01/2013,12/31/2013,35.084896678000064,92.45915631999998
40036,BAPTIST HEALTH MEDICAL CENTER NORTH LITTLE ROCK,OP-26,757,0,56,872,2520,589,695,01/01/2013,12/31/2013,34.78341792800006,92.21825285899996
40039,ARKANSAS METHODIST MEDICAL CENTER,OP-26,964,72,186,23,13,78,85,01/01/2013,12/31/2013,36.052552579000064,90.49840947599995
40041,ST MARYS REGIONAL MEDICAL CENTER,OP-26,1797,314,0,667,0,197,1048,01/01/2013,12/31/2013,35.28286750400002,93.14977190699994
40047,FIVE RIVERS MEDICAL CENTER,OP-26,452,0,0,86,16,0,10,01/01/2013,12/31/2013,36.289971028000025,90.99769664299998
40050,OUACHITA COUNTY MEDICAL CENTER,OP-26,414,429,170,20,30,174,18,01/01/2013,12/31/2013,33.573290384000074,92.83545442899998
40051,DREW MEMORIAL HOSPITAL,OP-26,NA,NA,NA,NA,NA,NA,NA,01/01/2013,12/31/2013,33.611110824000036,91.81497827999999
